[2025-12-20 13:48:52] FLAGGED | Ad: AD-202512-2038154411-C6X5I | Reason: Flagged for review - Recommended action: ban
[2025-12-20 13:48:52] FLAGGED | Ad: AD-202512-113047.114-94U75 | Reason: Flagged for review - Recommended action: delete
[2025-12-20 13:48:52] FLAGGED | Ad: food-mart | Reason: Flagged for review - Recommended action: delete
[2025-12-20 13:50:45] FLAGGED | Ad: AD-202512-2038154411-C6X5I | Reason: Flagged for review - Recommended action: delete
[2025-12-20 13:50:45] FLAGGED | Ad: AD-202512-113047.114-94U75 | Reason: Flagged for review - Recommended action: delete
[2025-12-20 13:50:45] FLAGGED | Ad: food-mart | Reason: Flagged for review - Recommended action: delete
[2025-12-20 13:52:55] FLAGGED | Ad: AD-202512-2038154411-C6X5I | Reason: Flagged for review - Recommended action: delete
[2025-12-20 13:52:55] FLAGGED | Ad: AD-202512-113047.114-94U75 | Reason: Flagged for review - Recommended action: delete
[2025-12-20 13:52:55] FLAGGED | Ad: food-mart | Reason: Flagged for review - Recommended action: delete
[2025-12-20 13:56:39] FLAGGED | Ad: AD-202512-2038154411-C6X5I | Reason: Flagged for review - Recommended action: ban
[2025-12-20 13:56:39] FLAGGED | Ad: AD-202512-113047.114-94U75 | Reason: Flagged for review - Recommended action: delete
[2025-12-20 13:56:39] FLAGGED | Ad: food-mart | Reason: Flagged for review - Recommended action: delete
